"Lemma","Discriminator","Oral Lemma","Oral Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"ADN",1,"adeɛn",1,,"N",,"M","hibiya ",,,,,,,
"ARN",1,"aɛʁɛn",1,,"N",,"M","ficopu ",,,,,,,
"OK",1,"oke",1,,"INTJ",,,"wepuva ",,,,,,,
"europe",1,"øʁɔp",1,,"N",,"DEF F","jalaki ",,,,,,,
"abdomen",1,"abdomɛn",1,,"N",,"M","jarobe ",,,,,,,
"abeille",1,"abɛj",1,,"N",,"F","zayami ",,,,,,,
"abreuvoir",1,"abʁøvwaʁ",1,,"N",,"M","bazemi ",,,,,,,
"absorb-",1,"absɔʁb",1,,"V","@-er","DO","matube ",,,,,,,
"adelphe",1,"adɛlf",1,,"N",,"M de","petiwi ",,,,,,,
"age",1,"aʒ",1,,"N",,"de","zupahe 21",,,,,,,
"aigu",1,"ɛgy",1,,"AN",,,"zupuzu ",,,,,,,
"aile",1,"ɛl",2,,"N",,"F","diyizi ",,,,,,,
"aim-",1,"ɛm",1,,"V","@-er","DO","tawale ",,,,,,,
"air",1,"ɛʁ",1,,"N",,"M","zawefe ",,,,,,,
"aisselle",1,"ɛsɛl",1,,"N",,"F","pehonu ",,,,,,,
"alcool",1,"alkɔl",1,,"N",,"M","gomadu ",,,,,,,
"all-",1,"al-",1,,"V","@INF-er","à depuis","zafejo ",,,,,,,
"all-",2,"al-",2,,"V","@INF-er","de à","zafejo 132",,,,,,,
"all-",3,"al-",3,,"V","@INF-er","INF","sosaqe ",,,,,,,
"aluminium",,"alyminjɔm",,,"N",,"M","virana ",,,,,,,
"ambre",,"ɑ͂bʁ",,,"N",,"M","jepigi ",,,,,,,
"ami",,"ami",,,"N",,"M de","ciruge ",,,,,,,
"animal",,"animal",,,"N",,"M","ziwayu ",,,,,,,
"antenne",,"ɑ͂tɛn",,,"N",,"F","yehida ",,,,,,,
"anus",,"anys",,,"N",,"M","sogivo ",,,,,,,
"appareil photo",,"apaʁɛj foto",,,"N",,"M","qotomi ",,,,,,,
"appareil photographique",,"apaʁɛj fotogʁafik",,,"N",,"M","qotomi ",,,,,,,
"appel",,"apel",,,"N",,"M",,,,,,,,
"appel-",2,"apl- / apøl-",,2,"V","@-er ★INF-er","DO","qojudi ",,,,,,,
"appel-",1,"apl- / apøl-",,1,"V","@-er ★INF-er","DO","ruyeba ",,,,,,,
"∅",,"apel",,,"V","★FIN-er",,,,,,,,,
"apprend-",1,"apʁɑ͂",,,"V","@-dre","à+INF","bokagu ",,,,,,,
"apprend-",1,"apʁɑ͂",,,"V","@-dre","DO","padago ",,,,,,,
"araignée",1,"aʁɛnje",1,,"N",,"F","puguda ",,,,,,,
"arbre",1,"aʁbʁ",1,,"N",,"M","tiliva ",,,,,,,
"arc",,"aʁk",,,"N",,"M","jopoca ",,,,,,,
"arc-en-ciel",,"aʁkɑ͂sjɛl",,,"N",,"M","vafewi ",,,,,,,
"argile",,"aʁʒil",,,"N",,"F","wusivu ",,,,,,,
"argon",,"aʁgɔ͂",,,"N",,"M","wujipu ",,,,,,,
"arme",1,"aʁm",1,,"N",,"F","pizufe ",,,,,,,
"armée",1,"aʁme",,,"N",,"F",,,,,,,,
"arm-",1,"aʁm",2,,"V","@-er",,,,,,,,,
"arriv-",1,"aʁiv",,,"V","@-er","à","dekuko ",,,,,,,
"arrosoir",,"aʁozwaʁ",,,"N",,"M","wowube ",,,,,,,
"arrêt de bus",,"aʁɛ dø bys",,,"N",,"M","wogovo ",,,,,,,
"arsenic",,"aʁsønik",,,"N",,"M","hopori ",,,,,,,
"artefact",,"aʁtefakt",,,"N",,"M","sehive ",,,,,,,
"arthropode",,"aʁtʁopɔd",,,"N",,"M","hekuwe ",,,,,,,
"artère",,"aʁtɛʁ",,,"N",,"F","pimiwu ",,,,,,,
"artéfact",,"aʁtefakt",,,"N",,"M","sehive ",,,,,,,
"attaqu-",,"atak-",,,"V","@-er","DO","vutiko ",,,,,,,
"attend-",,"atɑ͂-",,,"V","@-dre","DO pour","boyova ",,,,,,,
"attend-",,"atɑ͂-",,,"V","@-dre","DO","goveda ",,,,,,,
"auge",,"ɔʒ",,,"N",,"F","cesawo ",,,,,,,
"aujourd’hui",,"ɔʒuʁdɥi",,,"AV",,,"pulogi ",,,,,,,
"aussi",,"osi",,,"FOC",,,"yohecu ",,,,,,,
"automobile",,"otomobil",,,"N",,"F","yolase ",,,,,,,
"aval-",,"aval",,,"V","@-er","DO","saloti ",,,,,,,
"avoir faim",,"avwaʁ fɛ͂",,,"V",,,"borovi ",,,,,,,
"avoir soif",,"avwaʁ swaf",,,"V",,,"datiso ",,,,,,,
"avoir",1,"avwaʁ",,,"V","@INF","DO","pocofe ",,,,,,,
"azote",,"azɔt",,,"N",,"M","wupide ",,,,,,,
"aéroglisseur",,"aeʁoglisœʁ",,,"N",,"M","zulaku ",,,,,,,
"aïl",,"aj",,,"N",,"M","kagiko ",,,,,,,
"bactérie",,"bakteʁi",,,"N",,"F","bumere ",,,,,,,
"baill-",,"baj",,,"V","@-er",,"duhaqu ",,,,,,,
"baleine",,"balɛn",,,"N",,"F","menuma ",,,,,,,
"banane",,"banan",,,"N",,"F","niyiri ",,,,,,,
"banc",,"bɑ͂",,,"N",,"M","mejoqu ",,,,,,,
"banjo",,"banʒo",,,"N",,"M","wibewu ",,,,,,,
"barbe",,"baʁb",,,"N",,"F","qimeri ",,,,,,,
"barrage",,"baʁaʒ",,,"N",,"M","gokeda ",,,,,,,
"bateau",,"bato",,,"N",,"M","hunate ",,,,,,,
"bat-",,"ba",,,"V","@-tre @precons","DO","bunofi ",,,,,,,
"batt-",,"bat-",,,"V","@-tre @prevoc","DO","bunofi ",,,,,,,
"beau",,"bo",,,"AN",,,"wivulu ",,,,,,,
"bec",1,"bɛk",1,,"N",,"M","buqado ",,,,,,,
"betterave",,"bɛtʁav",,,"N",,"F","wuyece ",,,,,,,
"beurre",,"bœʁ",,,"N",,"M","gonata ",,,,,,,
"bicyclette",,"bisiklɛt",,,"N",,"F","vapewe ",,,,,,,
"bien reçu",,"bjɛ͂ ʁøsy",,,"INTJ",,,"wepuva ",,,,,,,
"bientôt",1,"bjɛ͂to",,,"AV",,,"megoji ",,,,,,,
"bipède",,"bipɛd",,,"N",,"M","seqero ",,,,,,,
"bière",,"bjɛʁ",,,"N",,"F","mupilo ",,,,,,,
"blanc",,"blɑ͂",,,"AN",,,"qokaza ",,,,,,,
"bleu",,"blø",,,"AN",,,"jayina ",,,,,,,
"boi-",,"bwa",,,"V","@voire","DO","cewide ",,,,,,,
"boite",,"bwat",,,"N",,"F","meluyo ",,,,,,,
"boite à outils",,"bwat a uti",,,"N",,"F","tajufo ",,,,,,,
"bol",,"bɔl",,,"N",,"M","busiba ",,,,,,,
"bombe",,"bɔ͂b",,,"N",,"F","wovuyu ",,,,,,,
"bore",,"bɔʁ",,,"N",,"M","cobewo ",,,,,,,
"bouche",,"buʃ",,,"N",,"F","wahulo ",,,,,,,
"bouclier",,"buklie",,,"N",,"M","fahazu ",,,,,,,
"bougie",,"buʒi",,,"N",,"F","mobupa ",,,,,,,
"bouteille",,"butɛj",,,"N",,"F","pewuve ",,,,,,,
"bouton",2,"butɔ͂",,,"N",,"M","pujuho ",,,,,,,
"bovin",,"bovɛ͂",,,"N",,"M","nuviri ",,,,,,,
"branche",,"bʁɑ͂ʃ",,,"N",,"F","tisoke ",,,,,,,
"branchies",,"bʁɑ͂ʃi",,,"N",,"F PL","posahe ",,,,,,,
"bras",,"bʁa",,,"N",,"M","copika ",,,,,,,
"brin",1,"bʁɛ͂",,,"N",,"M",,,,,,,,
"brique",,"bʁik",,,"N",,"F","fayeru ",,,,,,,
"brome",,"bʁɔm",,,"N",,"M","taniti ",,,,,,,
"bronze",,"bʁɔ͂z",,,"N",,"M","biyomo ",,,,,,,
"brun",1,"bʁɛ͂",,,"AN","@M",,"didizo ",,,,,,,
"bureau",1,"byʁo",,,"N",,"M","rayema ",,,,,,,
"bus",,"bys",,,"N",,"M","rajola ",,,,,,,
"bâtiment",,"batimɑ͂",,,"N",,"M","zomayi ",,,,,,,
"bélier",,"belje",,,"N",,"M","temaho ",,,,,,,
"béryllium",,"beʁiljɔm",,,"N",,"M","bediwe ",,,,,,,
"cable",,"kabl",,,"N",,"M","pegefo ",,,,,,,
"cable",,"kabl",,,"N",,"M","yiwaru ",,,,,,,
"café",,"kafe",,,"N",,"M","dopema ",,,,,,,
"cageot",,"kaʒo",,,"N",,"M","coyete ",,,,,,,
"calcium",,"kalsjɔm",,,"N",,"M","pomato ",,,,,,,
"caméra",,"kameʁa",,,"N",,"F","segeco ",,,,,,,
"canapé",,"kanape",,,"N",,"M","giroye ",,,,,,,
"cancéreux",,"kɑ͂seʁø",,,"AN",,,"nabude ",,,,,,,
"canette",,"kanɛt",,,"N",,"F","gunawa ",,,,,,,
"canidé",,"kanide",,,"N",,"M","dazive ",,,,,,,
"canine",,"kanin",,,"N",,"F","seyago ",,,,,,,
"canon électrique",,"kanon elɛktʁik",,,"N",,"M","cawetu ",,,,,,,
"canoé",,"kanoe",,,"N",,"M","gakapo ",,,,,,,
"caouchou",,"kautʃu",,,"N",,"M","wekawo ",,,,,,,
"cap",,"kap",,,"N",,"M","jijotu ",,,,,,,
"carbone",,"kaʁbɔn",,,"N",,"M","sicupe ",,,,,,,
"carcajou",,"kaʁkaʒu",,,"N",,"M","sotali ",,,,,,,
"caress-",,"kaʁɛs-",,,"V","@-er","DO","gunoqo ",,,,,,,
"carnivore",,"kaʁnivɔʁ",,,"AN",,,"tuyevu ",,,,,,,
"carotte",,"kaʁɔt",,,"N",,"F","morocu ",,,,,,,
"carte d’identité",,"kaʁt didɑ͂tite",,,"N",,"F","zapazu ",,,,,,,
"carte",2,"kaʁt",,,"N",,"F","teruki ",,,,,,,
"cartilage",,"kaʁtilaʒ",,,"N",,"M","resere ",,,,,,,
"carton",,"kaʁtɔ͂",,,"N",,"M","cipiqa ",,,,,,,
"cascade",,"kaskad",,,"N",,"F","walavu ",,,,,,,
"casque",,"kask",,,"N",,"M","ranini ",,,,,,,
"cauchemard",,"kɔʃmaʁ",,,"N",,"M","yazolu ",,,,,,,
"cauchemardesque",,"kɔʃmaʁdɛsk",,,"AN",,,,,,,,,,
"ceinture",,"sɛ͂tyʁ",,,"N",,"F","nojufe ",,,,,,,
"centaur",,"sɑ͂tɔʁ",,,"N",,"M","woceli ",,,,,,,
"cerveau",,"seʁvo",,,"N",,"M","rubiku ",,,,,,,
"chaine",1,"ʃɛn",2,,"N",,"F","foqale ",,,,,,,
"chaise",,"ʃɛz",,,"N",,,"zunoko ",,,,,,,
"chaise à bascule",,"ʃɛz a baskyl",,,"N",,"F","wowucu ",,,,,,,
"champignon",1,"ʃɑ͂pinjɔ͂",,,"N",,"M","hifuno ",,,,,,,
"champignon",2,"ʃɑ͂pinjɔ͂",,,"N",,"M","qocuja ",,,,,,,
"chant-",,"ʃɑ͂t",,,"V","@-er","DO","potubo ",,,,,,,
"chapeau",,"ʃapo",,,"N",,"M","riqawe ",,,,,,,
"charbon",,"ʃaʁbɔ͂",,,"N",,"M","keyobu ",,,,,,,
"chat",,"ʃa",,,"N",,"M","fufuki ",,,,,,,
"chaussette",,"ʃosɛt",,,"N",,"F","zoqudi ",,,,,,,
"chausson",,"ʃosɔ͂",,,"N",,"M","yokine ",,,,,,,
"chaussure",,"ʃosyʁ",,,"N",,"F","sehuki ",,,,,,,
"chaine de montanges",,"ʃɛn dø mɔ͂tanj",,,"N",,"F","yagiza ",,,,,,,
"chenille",2,"ʃønij",,,"N",,"F","wokutu ",,,,,,,
"cheval",,"ʃøval",,,"N",,"M","qibawe ",,,,,,,
"cheveu",,"ʃøvø",,,"N",,"M","kahozi ",,,,,,,
"cheville",,"ʃøvij",,,"N",,"F","niwira ",,,,,,,
"chien",,"ʃjɛ͂",,,"N",,"M","yobanu ",,,,,,,
"chien de prairie",,"ʃjɛ͂ dø pʁɛʁi",,,"N",,"M","dupusu ",,,,,,,
"chien-loup",,"ʃjɛ͂lu",,,"N",,"M","giteni ",,,,,,,
"chimère",1,"ʃimɛʁ",,,"N",,"F","gagule ",,,,,,,
"chlore",,"klɔʁ",,,"N",,"M","gizohi ",,,,,,,
"chocolat",,"ʃokola",,,"N",,"M","zakemo ",,,,,,,
"chose",1,"ʃɔz",,,"N",,"F","gisiwu ",,,,,,,
"choux",,"ʃu",,,"N",,"M","babuto ",,,,,,,
"chrome",,"kʁɔm",,,"N",,"M","gegogi ",,,,,,,
"chronomètre",,"kʁonomɛtʁ",,,"N",,"M","wicijo ",,,,,,,
"chèvre",,"ʃɛvʁ",,,"N",,"F","zajaki ",,,,,,,
"chêne",1,"ʃɛn",1,,"N",,"M","wepuze ",,,,,,,
"ciel",1,"sjel",1,,"N",,"M","zayawa ",,,,,,,
"cigarette",,"sigaʁɛt",,,"N",,"F","jadadi ",,,,,,,
"cil",,"sil",,,"N",,"M","kocedo ",,,,,,,
"ciment",,"simɑ͂",,,"N",,"M","narode ",,,,,,,
"cire",,"siʁ",,,"N",,"F","wapube ",,,,,,,
"cire d’abeille",,"siʁ dabɛj",,,"N",,"F","zonoba ",,,,,,,
"citrouille",,"sitʁuj",,,"N",,"F","zihowi ",,,,,,,
"clavier",,"klavje",,,"N",,"M","lebuci ",,,,,,,
"clign-",,"klinj",,,"V","@-er","DO!","fegori ",,,,,,,
"clitoris",,"klitoʁis",,,"N",,"M","kemobe ",,,,,,,
"cloaque",,"kloak",,,"N",,"M","mekoda ",,,,,,,
"clé",,"kle",,,"N",,"F","telipi ",,,,,,,
"cobalt",,"kobalt",,,"N",,"M","gocuno ",,,,,,,
"coccinelle",,"koksinel",,,"N",,"F","ledohu ",,,,,,,
"cochon",,"koʃɔ͂",,,"N",,"M","bogiri ",,,,,,,
"coin",,"kwɛ͂",,,"N",,"M","getaru ",,,,,,,
"colline",,"kolin",,,"N",,"F","fesanu ",,,,,,,
"colon",,"kolɔ͂",,,"N",,"M","diqadi ",,,,,,,
"combat",,"kɔ͂ba",,,"N",,"M",,,,,,,,
"combat-",,"kɔ͂ba",,,"V","@-tre @pre","DO","qifesi ",,,,,,,
"combatt-",,"kɔ͂bat-",,,,,,,,,,,,,
"commenc-",,"komɑ͂s",,,"V","@-er @ç",,"nobawe ",,,,,,,
"commerc-",,"komɛʁs",,,"V","@-er @ç",,,,,,,,,
"communauté",,"komynote",,,"N",,"F","maropa ",,,,,,,
"comprendre",,"kɔ͂pʁɑ͂dʁ",,,"V",,"DO","cimana ",,,,,,,
"concombre",,"kɔ͂kɔ͂bʁ",,,"N",,"M","dajuba ",,,,,,,
"congélateur",,"kɔ͂ʒelatœʁ",,,"N",,"M","cezibi ",,,,,,,
"connaître",,"konɛtʁ",,,"V",,"DO","ciboya ",,,,,,,
"conteneur",,"kɔ͂tønœʁ",,,"N",,"M","mipihu ",,,,,,,
"contenir",,"kɔ͂tønir",,,"V","@INF",,,,,,,,,
"contien-",,"kɔ͂tjɛ͂",,,"V","@FIN-nir",,,,,,,,,
"continent",,"kɔ͂tinɑ͂",,,"N",,"M","kimece ",,,,,,,
"control-",1,"kɔ͂tʁol",,,"V","@-er","DO","pocofe ",,,,,,,
"coquille",,"kokij",,,"N",,"F","micuwu ",,,,,,,
"corne",,"kɔʁn",,,"N",,"F","mivawi ",,,,,,,
"corps",,"kɔʁ",,,"N",,"M","tezoze ",,,,,,,
"cou",,"ku",,,"N",,"M","yidima ",,,,,,,
"couche",,"kuʃ",,,"N",,"F","dufiqa ",,,,,,,
"coude",,"kud",,,"N",,"M","fiyovu ",,,,,,,
"cougar",,"kuɡaʁ",,,"N",,"M","hegilo ",,,,,,,
"coul-",,"kul",,,"V","@-er",,"danake ",,,,,,,
"coul-",,"kul",,,"V","@-er",,"tutiwu ",,,,,,,
"courgette",,"kuʁʒɛt",,,"N",,"F","zumuva ",,,,,,,
"cour-",,"kuʁ",,,"V","@-ir",,"hoyogi ",,,,,,,
"coussinet",,"kusinɛ",,,"N",,"M","lunife ",,,,,,,
"couteau",,"kuto",,,"N",,"M","pamizi ",,,,,,,
"couvercle",,"kuvɛʁkl",,,"N",,"M","jiduka ",,,,,,,
"crach-",9,"kʁaʃ",,,"V","@-er","DO","vufahe ",,,,,,,
"cranié",,"kʁanje",,,"N",,"M","bubaye ",,,,,,,
"crin",,"kʁɛ͂",,,"N",,"M",,,,,,,,
"crinière",,"kʁinjɛʁ",,,"N",,"F","sodese ",,,,,,,
"croc",,"kʁo",,,"N",,"M","noriwi ",,,,,,,
"crocodile",,"kʁokodil",,,"N",,"M","lekuri ",,,,,,,
"crotale",,"kʁotal",,,"N",,"M","piqago ",,,,,,,
"crustacé",,"kʁystase",,,"N",,"M","sigivi ",,,,,,,
"crâne",,"kʁan",,,"N",,"M","heqegu ",,,,,,,
"cuillère",,"kyjɛʁ",,,"N",,"F","cudalo ",,,,,,,
"cuillère à café",,"kyjɛʁ a kafe",,,"N",,"F","sazahu ",,,,,,,
"cuivre",,"kɥivʁ",,,"N",,"M","muyulo ",,,,,,,
"culture",,"kyltyʁ",,,"N",,"F de","negewo 21",,,,,,,
"côte",,"kɔt",,,"N",,"F","newaza ",,,,,,,
"cœur",,"kœʁ",,,"N",,"M","cizehu ",,,,,,,
"demain",,"dømɛ͂",,,"AV",,,"yekaro ",,,,,,,
"dent",,"dɑ͂",,,"N",,"F","yapahi ",,,,,,,
"descend-",,"dɛsɑ͂",,,"V","@-dre",,"duwise ",,,,,,,
"diamant",,"djamɑ͂",,,"N",,"M","qeyuwi ",,,,,,,
"digitigrade",,"diʒitiɡʁad",,,"N","@=","M","mokola ",,,,,,,
"digitigrade",,"diʒitiɡʁad",,,"AN","@=",,"mokola ",,,,,,,
"digér-",,"diʒEʁ",,,"V","@-er","DO","buliki ",,,,,,,
"dimanche",,"dimɑ͂ʃ",,,"N",,"M","kilesi ",,,,,,,
"dinosaure",,"dinozɔʁ",,,"N",,"M","newala ",,,,,,,
"doigt",,"dwa",,,"N",,"M","fenube ",,,,,,,
"doigt de pied",,"dwa dø pje",,,"N",,"M","tabuze ",,,,,,,
"donn-",,"don",,,"V","@-er","DO à","jubaku 132",,,,,,,
"dophin",,"dofɛ͂",,,"N",,"M","defuyi ",,,,,,,
"dormi-",,"dɔʁmi",,,"V",,,"sevudo ",,,,,,,
"dor-",,"dɔʁ",,,"V",,,,,,,,,,
"dos",,"do",,,"N",,"M","joveta ",,,,,,,
"douleur",,"dulœʁ",,,"N",,"F","busoni ",,,,,,,
"dragon",1,"dʁaɡɔ͂",,,"N",,"M","zimoke ",,,,,,,
"drapeau",,"dʁapo",,,"N",,"M","rozase ",,,,,,,
"dune",,"dyn",,,"N",,"F","veteju ",,,,,,,
"dé",,"de",,,"N",,"M","hewizo ",,,,,,,
"défense",,"defɑ͂s",,,"N",,"F","fumuyo ",,,,,,,
"dégluti-",,"deɡlyti",,,"V","@-r",,"dumubo ",,,,,,,
"désert",,"dezɛʁ",,,"N",,"M","fahobo ",,,,,,,
"eau",,"o",,,"N",,"F","seliwa ",,,,,,,
"eau de pluie",,"o dø plɥi",,,"N",,"F","lefame ",,,,,,,
"eau potable",,"o potabl",,,"N",,"F","loyosu ",,,,,,,
"en éruption",,"ɑ͂neʁypsjɔ͂",,,"AN","@=",,"vufupe ",,,,,,,
"enceint",,"ɑ͂sɛ͂",,,"AN","@F-e ★F-t",,"bayabi ",,,,,,,
"enclume",,"ɑ͂klym",,,"N",,"F","bunoma ",,,,,,,
"encore",2,"ɑ͂kɔʁ",,,"AV",,,"bawugi ",,,,,,,
"endoscope",,"ɑ͂doskɔp",,,"N",,"M","vetepu ",,,,,,,
